begin begun
bend bent
bite bitten
bleed bled
blow blown
break broken
bring brought
build built
buy bought
catch caught
choose chosen
come come
cut cut
deal dealt
dig dug
do done
draw drawn
drink drunk
drive driven
eat eaten
fall fallen
feed fed
feel felt
fight fought
find found
fly flew
forbid forbidden
forget forgotten
forgive forgiven
freeze frozen
get got
give given
go gone
grow grown
hang hung
hear heard
hide hidden
hit hit
hold held
hurt hurt
keep kept
know known
lay laid
lead led
leave left
lend lent
let let
light lit
lose lost
make made
mean meant
meet met
mistake mistaken
pay paid
put put
read read
ride ridden
ring rung
rise risen
run run
say said
see seen
seek sought
sell sold
send sent
set set
shake shaken
shine shone
shoot shot
show shown
shrink shrunk
shut shut
sing sung
sink sunk
sit sat
sleep slept
slide slid
speak spoken
spend spent
split split
spread spread
spring sprung
stand stood
steal stolen
stick stuck
sting stung
stink stunk
strike struck
string strung
swear sworn
sweep swept
swell swollen
swim swum
swing swung
take taken
teach taught
tell told
think thought
throw thrown
understand understood
wake woken
wear worn
weave woven
win won
wind wound
write written
